practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference
A81001,12,12,12,45857.0,3821.4166666666665,1.2542461458061145,1819.0,1472.0,347.0,0.0,39.66679023922193,0.8092358438702584,0.19076415612974162,0.0,0.0,12.882330515347387,16650,14540,1296,814,12100,609,3657,9,275,0,7433,1167,4078,2513,879,347,231,1457,2,0,363.08524325620954,0.07783783783783783,0.7267267267267268,0.03657657657657658,0.44642642642642644,0.0700900900900901,0.24492492492492493,0.31501501501501505,0.15093093093093093,0.7614414414414414,0.0875075075075075,43.82492336252813,0,0,0
A81002,12,12,12,224461.0,18705.083333333332,0.13387597729463424,5195.0,3839.0,1356.0,0.0,23.144332423004442,0.7389797882579403,0.2610202117420597,0.0,0.0,2.774867304225292,106149,93466,6040,6643,83383,13659,5620,0,3487,0,30613,5681,17981,23296,10524,6877,11170,28571,7,0,472.9062064233876,0.05690114838575964,0.7855278900413569,0.12867761354322696,0.2883964992604735,0.05351910993038088,0.16939396508681193,0.22291307501719282,0.21946509152229413,0.5113095742776663,0.2691593891605196,57.483583374741166,0,0,0
A81004,12,12,12,136622.0,11385.166666666666,0.44815465729349735,31523.0,28036.0,3487.0,0.0,230.73150737070165,0.8893823557402531,0.11061764425974685,0.0,0.0,28.513388986344413,60350,53354,2574,4422,42792,14502,33,2161,862,0,22732,2581,7009,7804,6034,4761,9393,20188,36,0,441.72973606007815,0.042651201325600664,0.7090637945318973,0.24029826014913008,0.3766694283347142,0.04276719138359569,0.11613918806959403,0.15890637945318972,0.12931234465617233,0.5355758077879039,0.33451532725766364,63.964748242595924,0,0,0
A81005,12,12,12,91330.0,7610.833333333333,0.470526728532218,5239.0,3954.0,1285.0,0.0,57.3634074236286,0.7547241840045811,0.24527581599541898,0.0,0.0,7.665821763418534,53410,50271,1932,1207,30825,11769,10376,128,312,0,24020,3085,9615,6759,5567,2726,1618,9911,20,0,584.8023650498193,0.03617300131061599,0.5771391125257442,0.2203519940086126,0.44972851525931473,0.05776071896648568,0.1800224677026774,0.2377831866691631,0.12654933533046245,0.6875117019284778,0.1855645010297697,49.96947577478836,0,0,0
A81006,12,12,12,175467.0,14622.25,0.21755387857774153,8891.0,6315.0,2576.0,0.0,50.67049644662529,0.7102688111573501,0.28973118884264987,0.0,0.0,5.978549519839,94420,84826,4129,5465,65923,11342,12363,117,4675,0,31816,7933,26293,11760,6633,5159,4815,16607,11,0,538.1068804960477,0.04373014191908494,0.6981889430205465,0.12012285532726118,0.33696250794323235,0.08401821647955941,0.2784685447998305,0.36248676127938995,0.12454988349925863,0.6994492692226223,0.1758843465367507,62.31229100009443,0,0,0
A81007,12,12,12,126291.0,10524.25,0.6139605176159441,2644.0,1321.0,1323.0,0.0,20.93577531257176,0.4996217851739788,0.5003782148260212,0.0,0.0,5.444767818915605,61565,58532,1698,1335,54199,2011,4312,0,1043,0,36537,2252,6757,5466,2943,3606,3995,10544,9,0,487.48525231409997,0.02758060586372127,0.8803540972955413,0.03266466336392431,0.5934703159262568,0.03657922520912856,0.10975391862259401,0.14633314383172258,0.08878421180865752,0.7398034597579793,0.17126614147648828,48.35528863377534,0,0,0
A81009,12,12,12,96395.0,8032.916666666667,0.533234126984127,11502.0,10081.0,1421.0,0.0,119.32154157373307,0.8764562684750479,0.12354373152495218,0.0,0.0,45.35742365101848,52145,47458,1752,2935,20022,30300,0,0,1823,0,26460,4882,8642,5280,3331,1837,1709,6877,4,0,540.9512941542611,0.03359861923482597,0.3839677821459392,0.5810720107392847,0.5074312014574743,0.09362354971713491,0.16573017547224086,0.25935372518937577,0.1012561127624892,0.7667849266468502,0.13188225141432544,52.34416341600317,0,0,0
A81011,12,12,12,143175.0,11931.25,0.39366781137448703,2548.0,1777.0,771.0,0.0,17.796403003317618,0.6974097331240189,0.3025902668759812,0.0,0.0,3.670928094867298,65995,61111,2069,2815,57681,3001,3303,754,1256,0,28414,4104,11984,11137,5427,2870,1620,9917,439,0,460.9394098131657,0.03135085991362982,0.8740207591484204,0.04547314190468975,0.4305477687703614,0.062186529282521406,0.18158951435714826,0.24377604363966968,0.16875520872793393,0.674323812410031,0.15026895976967952,46.92001311676536,0,0,0
A81012,12,12,12,68012.0,5667.666666666667,0.7964601769911505,1672.0,822.0,850.0,0.0,24.583896959360114,0.4916267942583732,0.5083732057416268,0.0,0.0,4.4452351170990925,34304,29501,2760,2043,28276,3200,1338,632,858,0,12205,2745,7750,6449,2832,1365,931,5128,27,0,504.38157972122565,0.0804570895522388,0.824277052238806,0.09328358208955224,0.35578941231343286,0.08001982276119403,0.22592117537313433,0.30594099813432835,0.18799556902985073,0.6617304104477612,0.14948694029850745,53.90336584901027,0,0,0
A81013,12,12,12,92763.0,7730.25,0.36501108069352106,798.0,525.0,273.0,0.0,8.602567834158016,0.6578947368421053,0.34210526315789475,0.0,0.0,2.1235350798333643,44700,40242,1697,2761,36884,7329,0,0,487,0,11460,1824,6403,7273,7153,4992,5583,17728,12,0,481.87316063516704,0.03796420581655481,0.8251454138702461,0.16395973154362417,0.2563758389261745,0.040805369127516776,0.14324384787472036,0.18404921700223714,0.16270693512304252,0.44042505592841164,0.39659955257270696,58.39457480441788,0,0,0
