practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference,cbt_months_with_any_record,cbt_inbound_complete_months,cbt_mapping_valid_months,cbt_integrity_gap_months,cbt_any_integrity_gap_flag,cbt_annual_inbound_calls,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range
A81004,12,12,12,136622.0,11385.166666666666,0.44815465729349735,31523.0,28036.0,3487.0,0.0,230.73150737070165,0.8893823557402531,0.11061764425974685,0.0,0.0,28.513388986344413,60350,53354,2574,4422,42792,14502,33,2161,862,0,22732,2581,7009,7804,6034,4761,9393,20188,36,0,441.72973606007815,0.042651201325600664,0.7090637945318973,0.24029826014913008,0.3766694283347142,0.04276719138359569,0.11613918806959403,0.15890637945318972,0.12931234465617233,0.5355758077879039,0.33451532725766364,63.964748242595924,0,0,0,12,12,12,0,0,74747.0,547.1080792258933,47.49446330013257,124.64490170781846
A81012,12,12,12,68012.0,5667.666666666667,0.7964601769911505,1672.0,822.0,850.0,0.0,24.583896959360114,0.4916267942583732,0.5083732057416268,0.0,0.0,4.4452351170990925,34304,29501,2760,2043,28276,3200,1338,632,858,0,12205,2745,7750,6449,2832,1365,931,5128,27,0,504.38157972122565,0.0804570895522388,0.824277052238806,0.09328358208955224,0.35578941231343286,0.08001982276119403,0.22592117537313433,0.30594099813432835,0.18799556902985073,0.6617304104477612,0.14948694029850745,53.90336584901027,0,0,0,12,12,12,0,0,57094.0,839.4695053814033,77.62649431330334,239.79857620098892
A81019,12,12,12,106425.0,8868.75,0.46036379968560526,4666.0,3153.0,1513.0,0.0,43.843081982616866,0.6757393913416202,0.32426060865837975,0.0,0.0,11.280559054955962,54323,47944,3240,3139,43912,7257,0,2106,1048,0,21670,3158,7935,9586,6016,3336,2563,11915,59,0,510.4345783415551,0.05964324503433168,0.8083500543048064,0.13358982383152623,0.3989102221894962,0.05813375549951218,0.146070725107229,0.20420448060674118,0.17646300830219244,0.6031147027962374,0.21933619277285865,53.41660371366156,0,0,0,12,12,12,0,0,85889.0,807.0378200610759,74.30848867071626,211.20510130114337
A81041,12,12,12,112918.0,9409.833333333334,0.12742911755336095,1173.0,739.0,434.0,0.0,10.388069218370854,0.6300085251491901,0.3699914748508099,0.0,0.0,1.7504008087583458,49038,45996,1397,1645,46963,1389,0,0,686,0,20605,2500,6933,8985,3271,2812,3929,10012,3,0,434.279742822225,0.028488111260655,0.9576858762592275,0.028324972470329134,0.4201843468330682,0.05098087197683429,0.14138015416615685,0.19236102614299114,0.18322525388474245,0.6125453729760594,0.20416819609282597,64.78052937360837,0,0,0,12,12,12,0,0,121088.0,1072.3533891850723,91.20338845761484,294.963700004173
A81058,12,12,12,110799.0,9233.25,0.23853409953377425,25937.0,23818.0,2119.0,0.0,234.090560384119,0.9183020395573891,0.08169796044261095,0.0,0.0,31.43356980463164,76754,48589,2525,25640,36798,12442,22724,2880,1910,0,43321,2895,9682,11001,5733,2103,1213,9049,806,0,692.7318838617678,0.03289730828360737,0.4794277822654194,0.1621023008572843,0.5644135810511505,0.037717903952888446,0.12614326289183625,0.16386116684472468,0.1433280350209761,0.7282747478958751,0.1178961357062824,70.77897915826776,0,0,0,12,12,12,0,0,73017.0,659.0041426366664,40.63260587133978,102.73836755182674
A81612,12,12,12,48977.0,4081.4166666666665,1.1726546906187625,904.0,403.0,501.0,0.0,18.45764338362905,0.44579646017699115,0.5542035398230089,0.0,0.0,4.165043197090937,26790,23986,1425,1379,19598,4629,920,76,1567,0,7440,1040,4221,4634,4260,3084,2005,9349,106,0,546.9914449639626,0.05319148936170213,0.7315416200074655,0.17278835386338187,0.2777155655095185,0.03882045539380366,0.15755879059350503,0.1963792459873087,0.17297499066815977,0.4740948114968272,0.34897349757372154,55.79121122498296,0,0,0,12,12,12,0,0,38307.0,782.142638381281,62.211987848081804,193.10346028463073
A81618,12,12,12,119286.0,9940.5,0.2716024544814405,2990.0,1987.0,1003.0,0.0,25.06580822560904,0.6645484949832776,0.3354515050167224,0.0,0.0,4.247348138744088,65413,59988,2661,2764,47072,12915,2426,2958,42,0,24187,4713,15664,9749,3652,2681,4759,11092,8,0,548.3711416260081,0.04067998715851589,0.7196123094797671,0.19743781817070002,0.36975830492409767,0.0720498983382508,0.2394631036644092,0.31151300200266,0.14903765306590433,0.6812713069267576,0.16956874015868406,80.2465398447477,0,0,0,12,12,12,0,0,106803.0,895.3523464614456,82.40152150240161,323.32232787564203
A82009,12,12,12,110339.0,9194.916666666666,0.422580994690649,28018.0,21889.0,6129.0,0.0,253.92653549515583,0.78124776929117,0.21875223070883004,0.0,0.0,23.33219152110183,61752,56130,2929,2693,32604,26852,1622,674,0,0,32539,2068,7433,8258,3394,3143,4917,11454,0,0,559.6570568883169,0.04743166213240057,0.5279828993392927,0.43483611866822125,0.5269303018525716,0.03348879388521829,0.12036857105842726,0.15385736494364555,0.13372846223604093,0.6807876667962172,0.18548387096774194,72.3729294289314,0,0,0,12,12,12,1,1,64832.0,587.5710310950797,48.13547283755777,140.6274682036114
A82010,12,12,12,80857.0,6738.083333333333,0.7415097137772505,1046.0,508.0,538.0,0.0,12.936418615580592,0.48565965583174,0.51434034416826,0.0,0.0,4.077923374890039,39561,37108,1611,842,28279,6053,3429,1639,161,0,11973,4370,10005,8440,3240,998,534,4772,1,0,489.27118245791956,0.04072192310608933,0.7148201511589697,0.15300422132908673,0.3026465458406006,0.11046232400596546,0.25290058390839465,0.3633629079143601,0.21334142210763124,0.6660094537549607,0.12062384671772705,42.094419384002656,0,0,0,12,12,12,1,1,58511.0,723.6355541264207,62.923380083440364,203.77957153901434
A82014,12,12,12,51057.0,4254.75,0.5434782608695652,1957.0,1388.0,569.0,0.0,38.32970993203674,0.7092488502810425,0.2907511497189576,0.0,0.0,4.26588043829092,38877,36302,743,1832,26449,7826,3928,545,129,0,14766,3202,8048,4995,2997,1996,2871,7864,2,0,761.4430930136906,0.019111556961699718,0.680325127967693,0.20130154075674564,0.3798132571957713,0.08236232219564267,0.20701185791084703,0.2893741801064897,0.12848213596728142,0.6691874373022609,0.202278982431772,126.47660487295198,0,0,0,12,12,12,0,0,43952.0,860.8418042579862,88.24855480388828,242.98740916033432
