practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference,cbt_months_with_any_record,cbt_inbound_complete_months,cbt_mapping_valid_months,cbt_integrity_gap_months,cbt_any_integrity_gap_flag,cbt_annual_inbound_calls,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range,cbt_outcome_complete_months,cbt003_007_comparable_months,cbt003_answered_calls,cbt007_answered_calls,cbt_missed_calls,cbt_ivr_calls,cbt_callback_requests,cbt_answered_share_cbt003,cbt_answered_share_cbt007_sensitivity,cbt_missed_share,cbt_ivr_share,cbt_callback_request_share,cbt003_007_relative_difference
A81004,12,12,12,136622.0,11385.166666666666,0.44815465729349735,31523.0,28036.0,3487.0,0.0,230.73150737070165,0.8893823557402531,0.11061764425974685,0.0,0.0,28.513388986344413,60350,53354,2574,4422,42792,14502,33,2161,862,0,22732,2581,7009,7804,6034,4761,9393,20188,36,0,441.72973606007815,0.042651201325600664,0.7090637945318973,0.24029826014913008,0.3766694283347142,0.04276719138359569,0.11613918806959403,0.15890637945318972,0.12931234465617233,0.5355758077879039,0.33451532725766364,63.964748242595924,0,0,0,12,12,12,0,0,74747.0,547.1080792258933,47.49446330013257,124.64490170781846,12,12,46264.0,46278.0,11060.0,14282.0,3124.0,0.6189412284105048,0.6191285268974006,0.14796580464767817,0.19107121356041046,0.04179431950446172,0.00030261110150440947
A81012,12,12,12,68012.0,5667.666666666667,0.7964601769911505,1672.0,822.0,850.0,0.0,24.583896959360114,0.4916267942583732,0.5083732057416268,0.0,0.0,4.4452351170990925,34304,29501,2760,2043,28276,3200,1338,632,858,0,12205,2745,7750,6449,2832,1365,931,5128,27,0,504.38157972122565,0.0804570895522388,0.824277052238806,0.09328358208955224,0.35578941231343286,0.08001982276119403,0.22592117537313433,0.30594099813432835,0.18799556902985073,0.6617304104477612,0.14948694029850745,53.90336584901027,0,0,0,12,12,12,0,0,57094.0,839.4695053814033,77.62649431330334,239.79857620098892,12,12,38119.0,38119.0,2643.0,14581.0,1751.0,0.6676533436087855,0.6676533436087855,0.04629207972816758,0.25538585490594456,0.03066872175710232,0.0
A81019,12,12,12,106425.0,8868.75,0.46036379968560526,4666.0,3153.0,1513.0,0.0,43.843081982616866,0.6757393913416202,0.32426060865837975,0.0,0.0,11.280559054955962,54323,47944,3240,3139,43912,7257,0,2106,1048,0,21670,3158,7935,9586,6016,3336,2563,11915,59,0,510.4345783415551,0.05964324503433168,0.8083500543048064,0.13358982383152623,0.3989102221894962,0.05813375549951218,0.146070725107229,0.20420448060674118,0.17646300830219244,0.6031147027962374,0.21933619277285865,53.41660371366156,0,0,0,12,12,12,0,0,85889.0,807.0378200610759,74.30848867071626,211.20510130114337,12,12,47632.0,47632.0,8883.0,24397.0,4977.0,0.5545762553994109,0.5545762553994109,0.10342418703209957,0.28405267263561107,0.05794688493287848,0.0
A81041,12,12,12,112918.0,9409.833333333334,0.12742911755336095,1173.0,739.0,434.0,0.0,10.388069218370854,0.6300085251491901,0.3699914748508099,0.0,0.0,1.7504008087583458,49038,45996,1397,1645,46963,1389,0,0,686,0,20605,2500,6933,8985,3271,2812,3929,10012,3,0,434.279742822225,0.028488111260655,0.9576858762592275,0.028324972470329134,0.4201843468330682,0.05098087197683429,0.14138015416615685,0.19236102614299114,0.18322525388474245,0.6125453729760594,0.20416819609282597,64.78052937360837,0,0,0,12,12,12,0,0,121088.0,1072.3533891850723,91.20338845761484,294.963700004173,12,12,59101.0,59123.0,7575.0,44638.0,9752.0,0.48808304704016914,0.4882647330866808,0.06255780919661734,0.368640988372093,0.08053646934460888,0.0003722441244648991
A81618,12,12,12,119286.0,9940.5,0.2716024544814405,2990.0,1987.0,1003.0,0.0,25.06580822560904,0.6645484949832776,0.3354515050167224,0.0,0.0,4.247348138744088,65413,59988,2661,2764,47072,12915,2426,2958,42,0,24187,4713,15664,9749,3652,2681,4759,11092,8,0,548.3711416260081,0.04067998715851589,0.7196123094797671,0.19743781817070002,0.36975830492409767,0.0720498983382508,0.2394631036644092,0.31151300200266,0.14903765306590433,0.6812713069267576,0.16956874015868406,80.2465398447477,0,0,0,12,12,12,0,0,106803.0,895.3523464614456,82.40152150240161,323.32232787564203,12,12,46962.0,46965.0,10796.0,35932.0,13110.0,0.4397067498103986,0.43973483890901943,0.10108330290347649,0.3364324972144977,0.12274936097300637,6.388143605468251e-05
A82021,12,12,12,217071.0,18089.25,0.5106288505300549,45292.0,38051.0,7241.0,0.0,208.650625832101,0.8401262916188289,0.15987370838117107,0.0,0.0,20.157724995194382,96141,88673,3105,4363,70107,16698,5756,2494,1086,0,27285,8327,21446,11977,9329,9324,8428,27081,25,0,442.90117058473953,0.03229631478765563,0.7292102224857241,0.17368240396917028,0.28380191593596904,0.08661237141282076,0.22306820191177543,0.3096805733245962,0.1245774435464578,0.5934824892605652,0.28168003245233564,46.168437126219345,0,0,0,12,12,12,0,0,174203.0,802.5162274094652,70.59697989215654,217.43745290927325,12,12,49712.0,49752.0,42626.0,53626.0,22455.0,0.2853682198354793,0.28559783700625135,0.2446915380332141,0.30783625999552244,0.12890133924214853,0.0008046346958480849
A82035,12,12,12,173310.0,14442.5,0.3595381317845537,11963.0,7599.0,4364.0,0.0,69.02659973457966,0.6352085597258212,0.3647914402741787,0.0,0.0,9.0555054921803,103893,90330,6318,7245,55214,40097,2195,3644,2743,0,35779,7309,23442,18826,9249,5601,3482,18332,205,0,599.4633893024061,0.06081256677543242,0.5314506270874843,0.38594515511150895,0.344383163447008,0.07035122674289894,0.2256359908752274,0.29598721761812635,0.18120566351919765,0.6403703810651343,0.17645077146679758,80.4819041509758,0,0,0,12,12,12,0,0,112930.0,651.6069470890312,62.772011248643096,172.43126167741298,12,12,58229.0,58247.0,14420.0,32181.0,8082.0,0.5156202957584344,0.5157796865314797,0.1276897192951386,0.2849641370760648,0.07156645709731692,0.00030912431949715776
A83003,12,12,12,110194.0,9182.833333333334,0.47774158523344196,1227.0,767.0,460.0,0.0,11.134907526725593,0.6251018744906276,0.37489812550937246,0.0,0.0,1.6498263614615134,52501,47806,2050,2645,37225,11032,1247,1287,1710,0,16641,2268,8059,7745,6436,6086,5249,17771,17,0,476.4415485416629,0.03904687529761338,0.7090341136359307,0.2101293308698882,0.31696539113540695,0.04319917715853031,0.15350183806022744,0.19670101521875774,0.1475209996000076,0.5136664063541647,0.33848879068970117,47.98396400432073,0,0,0,12,12,12,0,0,70036.0,635.5699947365555,51.547292371948586,191.78712951228147,12,12,39357.0,39384.0,3705.0,13432.0,13514.0,0.5619538523045291,0.5623393683248615,0.0529013650122794,0.19178708092980754,0.19295790736192814,0.000686027898467871
A83007,12,12,12,123141.0,10261.75,0.23414634146341462,4907.0,2623.0,2284.0,0.0,39.84862880762703,0.534542490319951,0.4654575096800489,0.0,0.0,5.305827806428778,69848,62638,3253,3957,54893,10858,811,2,3284,0,22889,3532,9048,13228,11813,6245,2976,21034,117,0,567.2196912482439,0.04657255755354484,0.7858922231130455,0.15545183827740236,0.32769728553430305,0.05056694536708281,0.12953842629710227,0.18010537166418508,0.18938265948917649,0.5078026571984882,0.30113961745504525,51.554286773277525,0,0,0,12,12,12,0,0,89385.0,725.8752162155578,64.89996483036934,143.7429478725785,12,12,58347.0,58453.0,9468.0,16527.0,4936.0,0.6527605302903172,0.6539464115903115,0.10592381272025507,0.1848967947642222,0.055221793365777254,0.00181671722624985
A83015,12,12,12,116530.0,9710.833333333334,0.2777777777777778,608.0,385.0,223.0,0.0,5.217540547498499,0.6332236842105263,0.3667763157894737,0.0,0.0,1.124727176656568,65457,58269,2555,4633,53730,5924,0,0,5803,0,23334,3248,10057,12901,7275,4382,4250,15907,10,0,561.7180125289625,0.039033258475029406,0.8208442183418122,0.09050216172449088,0.35647829873046427,0.04962036145866752,0.1536428495042547,0.20326321096292221,0.19709122019035397,0.5597415096933865,0.24301449806743358,67.9759988409057,0,0,0,12,12,12,0,0,116200.0,997.1681112159959,85.41386984665779,299.65319172912643,12,12,73547.0,73557.0,5602.0,30705.0,6336.0,0.632934595524957,0.6330206540447504,0.04820998278829604,0.26424268502581755,0.05452667814113597,0.00013596747657960217
