practice_code_standardised,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_over_14_days_share,ocs_mean_absolute_monthly_rate_change,gpad_mean_absolute_monthly_rate_change,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range
A81004,230.73150737070165,0.8893823557402531,0.11061764425974685,441.72973606007815,0.042651201325600664,0.7090637945318973,0.24029826014913008,0.3766694283347142,0.15890637945318972,0.12931234465617233,0.33451532725766364,28.513388986344413,63.964748242595924,547.1080792258933,47.49446330013257,124.64490170781846
A81012,24.583896959360114,0.4916267942583732,0.5083732057416268,504.38157972122565,0.0804570895522388,0.824277052238806,0.09328358208955224,0.35578941231343286,0.30594099813432835,0.18799556902985073,0.14948694029850745,4.4452351170990925,53.90336584901027,839.4695053814033,77.62649431330334,239.79857620098892
A81019,43.843081982616866,0.6757393913416202,0.32426060865837975,510.4345783415551,0.05964324503433168,0.8083500543048064,0.13358982383152623,0.3989102221894962,0.20420448060674118,0.17646300830219244,0.21933619277285865,11.280559054955962,53.41660371366156,807.0378200610759,74.30848867071626,211.20510130114337
A81041,10.388069218370854,0.6300085251491901,0.3699914748508099,434.279742822225,0.028488111260655,0.9576858762592275,0.028324972470329134,0.4201843468330682,0.19236102614299114,0.18322525388474245,0.20416819609282597,1.7504008087583458,64.78052937360837,1072.3533891850723,91.20338845761484,294.963700004173
A81058,234.090560384119,0.9183020395573891,0.08169796044261095,692.7318838617678,0.03289730828360737,0.4794277822654194,0.1621023008572843,0.5644135810511505,0.16386116684472468,0.1433280350209761,0.1178961357062824,31.43356980463164,70.77897915826776,659.0041426366664,40.63260587133978,102.73836755182674
A81612,18.45764338362905,0.44579646017699115,0.5542035398230089,546.9914449639626,0.05319148936170213,0.7315416200074655,0.17278835386338187,0.2777155655095185,0.1963792459873087,0.17297499066815977,0.34897349757372154,4.165043197090937,55.79121122498296,782.142638381281,62.211987848081804,193.10346028463073
A81618,25.06580822560904,0.6645484949832776,0.3354515050167224,548.3711416260081,0.04067998715851589,0.7196123094797671,0.19743781817070002,0.36975830492409767,0.31151300200266,0.14903765306590433,0.16956874015868406,4.247348138744088,80.2465398447477,895.3523464614456,82.40152150240161,323.32232787564203
A82009,253.92653549515583,0.78124776929117,0.21875223070883004,559.6570568883169,0.04743166213240057,0.5279828993392927,0.43483611866822125,0.5269303018525716,0.15385736494364555,0.13372846223604093,0.18548387096774194,23.33219152110183,72.3729294289314,587.5710310950797,48.13547283755777,140.6274682036114
A82010,12.936418615580592,0.48565965583174,0.51434034416826,489.27118245791956,0.04072192310608933,0.7148201511589697,0.15300422132908673,0.3026465458406006,0.3633629079143601,0.21334142210763124,0.12062384671772705,4.077923374890039,42.094419384002656,723.6355541264207,62.923380083440364,203.77957153901434
A82014,38.32970993203674,0.7092488502810425,0.2907511497189576,761.4430930136906,0.019111556961699718,0.680325127967693,0.20130154075674564,0.3798132571957713,0.2893741801064897,0.12848213596728142,0.202278982431772,4.26588043829092,126.47660487295198,860.8418042579862,88.24855480388828,242.98740916033432
A82021,208.650625832101,0.8401262916188289,0.15987370838117107,442.90117058473953,0.03229631478765563,0.7292102224857241,0.17368240396917028,0.28380191593596904,0.3096805733245962,0.1245774435464578,0.28168003245233564,20.157724995194382,46.168437126219345,802.5162274094652,70.59697989215654,217.43745290927325
A82035,69.02659973457966,0.6352085597258212,0.3647914402741787,599.4633893024061,0.06081256677543242,0.5314506270874843,0.38594515511150895,0.344383163447008,0.29598721761812635,0.18120566351919765,0.17645077146679758,9.0555054921803,80.4819041509758,651.6069470890312,62.772011248643096,172.43126167741298
A82053,382.22539325091134,0.0,0.0,508.2552033979554,0.02417143734509004,0.680178105327806,0.2742207891908491,0.3542804500888333,0.2682327652387533,0.12530981992059836,0.2520234256761203,69.23172180426296,53.534644936945,663.3036420998651,90.23809928675998,220.3480546439572
A82062,14.616226356104423,0.3805704099821747,0.6194295900178253,521.1557500911886,0.04544318352247163,0.9218367244913263,0.0578663200519922,0.4480077988301755,0.19447082937559368,0.05991601259811028,0.2975053741938709,2.739209648359968,74.75048566703016,801.5736543171279,79.8784470856916,205.00180884700717
A82071,1.22857545668768,0.39344262295081966,0.6065573770491803,544.9638476566433,0.05417990982334245,0.5875896222928524,0.3518367950328923,0.34570182570773894,0.23845073545716608,0.13138443343927858,0.2840934289304457,0.9220434238545806,99.00491898105261,922.2170751847898,82.45288905503152,237.88719804787922
A82072,16.135982219803147,0.5924104005621925,0.4075895994378074,413.38957681317186,0.07861531709457976,0.5833881939872724,0.26648562650866797,0.2549374588545095,0.3121845512398508,0.2239137590520079,0.20847048496818082,4.559177850384802,50.54314403292553,684.696330566517,81.79951057140698,238.25346292150175
A83003,11.134907526725593,0.6251018744906276,0.37489812550937246,476.4415485416629,0.03904687529761338,0.7090341136359307,0.2101293308698882,0.31696539113540695,0.19670101521875774,0.1475209996000076,0.33848879068970117,1.6498263614615134,47.98396400432073,635.5699947365555,51.547292371948586,191.78712951228147
A83007,39.84862880762703,0.534542490319951,0.4654575096800489,567.2196912482439,0.04657255755354484,0.7858922231130455,0.15545183827740236,0.32769728553430305,0.18010537166418508,0.18938265948917649,0.30113961745504525,5.305827806428778,51.554286773277525,725.8752162155578,64.89996483036934,143.7429478725785
A83015,5.217540547498499,0.6332236842105263,0.3667763157894737,561.7180125289625,0.039033258475029406,0.8208442183418122,0.09050216172449088,0.35647829873046427,0.20326321096292221,0.19709122019035397,0.24301449806743358,1.124727176656568,67.9759988409057,997.1681112159959,85.41386984665779,299.65319172912643
A83016,10.364852046364204,0.6912202380952381,0.3087797619047619,663.7052803677054,0.02651576770235412,0.6587576398410449,0.2832492853988985,0.4332457995398666,0.22023657363296228,0.15601543073598104,0.19049057656108387,2.83045809405243,62.66140658153159,856.9203124879501,70.40395305884536,196.41456991454527
A83018,129.38406122469343,0.8575615022750058,0.14243849772499423,546.5820536614083,0.034995162379744066,0.753317877288742,0.21674364263677687,0.3583124920133628,0.3135599408532467,0.16532795414301102,0.16187772686613483,27.09661183212161,54.700991718628714,641.4773350894523,66.70055932706322,240.68162055022083
A83021,12.08696784272881,0.6699698405859543,0.3300301594140457,570.9308683765134,0.032763857597621154,0.6412120438189232,0.29800333841087995,0.3492835186485821,0.2766958853629838,0.2597210693860425,0.11427216257878559,2.3400320780765127,72.52384632274288,1115.1777112355162,83.26701874900506,197.1177301750172
A83023,300.5823771091226,0.7770995067790237,0.22290049322097627,514.6990386788815,0.03949883750968742,0.725458537845518,0.24236631361405322,0.3935029708085766,0.19757168690260915,0.16122448979591836,0.2476491862567812,22.939191379253728,85.62507158963446,625.2376710234148,51.0509903766336,152.3909389966159
A83025,10.954063604240282,0.6763070077864294,0.3236929922135706,586.6638235652492,0.03575471208266265,0.7961472558284438,0.13971649618360246,0.4042265953580144,0.28591307959914847,0.1467262059296952,0.1631237343579625,2.5267601931121657,73.96163070175231,1066.1447544778848,70.75997990552519,220.83323049511716
A83031,21.15640858446971,0.7825795644891123,0.21742043551088777,416.90528166019334,0.027693720036720954,0.8039169018394479,0.15682907755601647,0.295773690115943,0.15021590561354597,0.12107714800584815,0.432695250076502,3.8562524296469003,67.50916575738931,716.695489467865,56.02273968062996,143.04202961132262
A83033,126.76320620028554,0.5489767022782855,0.4510232977217145,707.2730981032021,0.03559646573003899,0.5715043716981567,0.19586130528064227,0.47585761413707983,0.19947170507762935,0.1511753985281565,0.1734722126098692,14.766244809281778,85.84865799349821,760.6526616357332,69.50495616377988,193.6464739841531
A83040,18.903167961745368,0.8009342436219906,0.19906575637800933,461.26990164647066,0.06580768664408776,0.851303195405684,0.07439257841260492,0.23519363863937565,0.3210425563245472,0.16230304815196583,0.2813576792814019,3.0245383198485403,62.00728747718793,721.5331739390317,54.8125264755781,171.99805874100264
A83041,85.2816997321469,0.17380889007186584,0.8261911099281342,771.3034003722704,0.03690514729685983,0.8066747108508197,0.048309249830777834,0.3956119956443686,0.3196238853409459,0.1830542393831484,0.10162158980546808,8.696442445661651,92.59499188710289,809.631361510873,67.29194365387805,158.37293110929636
A83044,19.90383652208755,0.4393558127830901,0.5606441872169099,644.0649103475909,0.04468326671539885,0.8264771295705865,0.11955456708711137,0.33090190833164845,0.3809975582064482,0.18408323872031354,0.10350405151095697,3.135740897473363,56.12932718447685,796.9448061704899,61.59553048320235,183.98016309928335
A83045,38.45207333579427,0.5037090909090909,0.4962909090909091,707.7530565902659,0.031056882299947842,0.4443821023849789,0.3988557158887958,0.4572869086943465,0.22134153087512448,0.1312528646615353,0.18901234372777417,6.757396304474616,68.64849622391164,651.3361745919885,43.959307402655945,170.25672861488454
A83046,4.463879710188862,0.5721561969439728,0.42784380305602715,547.0185224482371,0.030286236803458117,0.81297625315193,0.14708082795311592,0.31416775194657653,0.2604256144531575,0.15989636731414003,0.26545484773753775,0.831725699737838,59.51155027371896,818.5269954830691,58.064687111543314,176.4519457816374
A83047,44.89914283961564,0.8155508632468016,0.18444913675319835,399.5192763491771,0.053713759265204705,0.819455882968774,0.1576236407543377,0.2699367662865199,0.21907061795949134,0.11549574952190846,0.39532935970630523,14.04020900605371,74.53586623667434,610.669611238449,42.847384304651925,121.63730528733788
A83049,7.083944745230987,0.2757142857142857,0.7242857142857143,596.4883873905784,0.03169217196566116,0.6625920396321808,0.25342709782498046,0.36401886600386824,0.276517593566557,0.20050218859217536,0.15891893726035763,1.191673066024698,67.82018098070444,697.8646966553661,64.30895656481317,156.52785513765832
A83054,103.72417591604498,0.8651621467855111,0.1348378532144889,686.6145062381053,0.028863852858810636,0.7449810558583594,0.1930082150965829,0.45995229943919613,0.15371613152749228,0.10117389217954319,0.2850144319264294,34.44253545424839,70.38233699839574,624.7645650046472,57.683717890536556,174.22419554654402
A83070,22.39792903570725,0.5973618090452262,0.4026381909547739,415.00886350206815,0.03010373584649807,0.8533798901620449,0.09536239745067462,0.24601667909688793,0.16441792663909416,0.22648993152078106,0.3630754627432368,3.358875550958713,57.88177066579533,656.039843552154,47.864670445982874,116.64339034338707
A83071,20.925932510756322,0.7544604927782498,0.24553950722175022,544.9987554670554,0.054348535264565796,0.8724799373654335,0.08246884582762445,0.29604619299275786,0.26123833757421544,0.18946956351536504,0.2530827950675279,3.8925628213060874,61.341046553992925,764.5877040145077,68.29606692376856,150.09059672832768
A83075,31.041505723716554,0.41499676793794443,0.5850032320620556,656.8278269942713,0.08819575976049368,0.941666157512067,0.023400745402333965,0.3103348200647645,0.30265167715525143,0.2140282275310075,0.17287835278303904,5.51992495745231,77.2790569229537,738.1035987679712,59.76521756513641,173.4259989884191
A83618,73.68318292259632,0.8137788900338584,0.1862211099661416,662.0639534883721,0.02718023493946295,0.5326441338860036,0.3142683945803365,0.37070956960532137,0.3360093058308895,0.09810442846142503,0.19509477857692875,15.179038006681294,101.8450525317326,852.9373481430059,61.65120346955908,170.18865760366975
A83626,4.487713075893018,0.5,0.5,670.5511925011762,0.0339486183074266,0.8339270293609672,0.10880829015544041,0.3508203799654577,0.2802245250431779,0.10643350604490501,0.26235967184801384,1.57544166509615,123.59990869524567,1067.6052260142594,72.85580034236322,250.11019688510135
A83627,19.31454760645665,0.7737940026075619,0.22620599739243807,690.4006446576516,0.033100505170244196,0.6364962704940456,0.3352725548483577,0.4175405321612897,0.3441540678058833,0.11483960388816954,0.12344755895172616,3.3307790489283278,76.62939995404898,735.9799551761477,71.31632767029006,223.80671131762097
A83636,205.01791083425644,0.8662549996491474,0.13374500035085257,852.0090345412956,0.024466432527353775,0.5862657030933406,0.1580946913413481,0.5001519654194245,0.236559502904228,0.110191814129407,0.15306294745373497,15.601352677989047,92.47483104303421,798.377235257729,91.11039713998412,260.5066191122769
