practice_code_standardised,ocs_months,cbt_months,denominator_months,patient_month_exposure,ocs_total,cbt_total,ocs_submissions_per_1000_patient_months,cbt_inbound_calls_per_1000_patient_months,ocs_morning_share,cbt_morning_share,ocs_out_of_hours_share,cbt_out_of_hours_share,cbt_april_y60_integrity_gap_flag
A81001,12,,12,45857.0,1773.0,,38.663671849445,,0.560067681895093,,0.0665538635081782,,0
A81002,12,9,12,224461.0,5114.0,182231.0,22.7834679521164,811.86041227652,0.549080954243254,0.584104790074137,0.100117324990223,0.0121164895105663,0
A81004,12,12,12,136622.0,30841.0,74747.0,225.73963197728,547.108079225893,0.545831847216368,0.471015559152876,0.175513115657728,0.0212182428726237,0
A81005,12,9,12,91330.0,5105.0,65217.0,55.8962005912625,714.080805868827,0.522233104799216,0.599598264256252,0.120470127326151,0.0431789257402211,0
A81006,12,5,12,175467.0,8783.0,53289.0,50.054996096132,303.698131272547,0.39098257998406,0.551126874214191,0.21894569053854,0.0140554335791627,0
A81007,12,,12,126291.0,2525.0,,19.9935070590937,,0.489504950495049,,0.253069306930693,,0
A81009,7,7,12,96395.0,11051.0,39462.0,114.642875667825,409.378079775922,0.638946701655959,0.436571891946683,0.0545651977196634,0.026835943439258,0
A81011,12,,12,143175.0,2466.0,,17.2236773179675,,0.445255474452555,,0.289537712895377,,0
A81012,12,12,12,68012.0,1623.0,57094.0,23.8634358642592,839.469505381403,0.43992606284658,0.473009423056714,0.184842883548983,0.0959120047640733,0
A81013,12,9,12,92763.0,766.0,75293.0,8.25760270797624,811.670601425137,0.477806788511749,0.669238840264035,0.121409921671018,0.0487960368161715,0
A81014,12,9,12,49554.0,1533.0,27249.0,30.9359486620656,549.884973967793,0.322896281800391,0.476531248853169,0.365296803652968,0.00737641748321039,0
A81016,12,,12,149710.0,2048.0,,13.6797809097589,,0.44140625,,0.25,,0
A81017,12,,12,219652.0,2815.0,,12.8157266949538,,0.581527531083481,,0.17797513321492,,0
A81018,12,9,12,122364.0,7944.0,80444.0,64.9210552123173,657.415579745677,0.515861027190332,0.499042812391229,0.0662134944612286,0.0361369399830938,0
A81019,12,12,12,106425.0,4538.0,85889.0,42.6403570589617,807.037820061076,0.618334067871309,0.529450802780333,0.202291758483914,0.0404941261395522,0
A81020,12,5,12,94277.0,5089.0,80217.0,53.9792314138125,850.865004189781,0.513263902534879,0.483974718575863,0.105521713499705,0.0934340601119463,0
A81021,12,4,12,292840.0,3961.0,111085.0,13.5261576287392,379.336839229613,0.439283009341076,0.557014898501148,0.184801817722797,0.123797092316694,0
A81022,12,9,12,112387.0,3531.0,112564.0,31.4182245277479,1001.5749152482,0.578023222883036,0.57502398635443,0.144435004248088,0.0915923385807185,0
A81023,12,,12,101298.0,5068.0,,50.0306027759679,,0.485201262825572,,0.112470402525651,,0
A81025,12,,12,49140.0,1299.0,,26.4346764346764,,0.494226327944573,,0.0846805234795997,,0
A81026,12,6,12,250128.0,62033.0,101948.0,248.005021429028,407.583317341521,0.562184643657408,0.482088908070781,0.128754050263569,0.0271314787931102,0
A81027,12,5,12,172230.0,16679.0,44568.0,96.8414329675434,258.770249085525,0.449247556807962,0.525062825345539,0.131242880268601,0.069579070184886,0
A81029,12,9,12,84160.0,722.0,48454.0,8.57889733840304,575.736692015209,0.42797783933518,0.596586453130804,0.182825484764543,0.0186775085648244,0
A81030,12,5,12,202516.0,47550.0,49631.0,234.796263011318,245.071994311561,0.541261829652997,0.436743164554412,0.184479495268139,0.0436420785396224,0
A81031,12,,12,163880.0,3704.0,,22.6019038320722,,0.551295896328294,,0.344492440604752,,0
A81032,12,9,12,139858.0,4994.0,93419.0,35.7076463269888,667.956069727867,0.476171405686824,0.517400100621929,0.173608329995995,0.0278315974266477,0
A81034,12,9,12,251091.0,7467.0,125672.0,29.7382223974575,500.503801410644,0.539172358376858,0.517585460564008,0.120128565689032,0.0143787001082182,0
A81035,12,5,12,116377.0,4315.0,40471.0,37.0777730994956,347.757718449522,0.544380069524913,0.539942180820835,0.151100811123986,0.085443898099874,0
A81036,12,5,12,194347.0,30833.0,37595.0,158.649220209213,193.442656691382,0.547141050173515,0.458465221439021,0.402620568871015,0.0277164516558053,0
A81037,12,9,12,76797.0,967.0,58422.0,12.5916376941808,760.732841126607,0.481902792140641,0.493546951490877,0.286452947259566,0.190698709390298,0
A81038,12,6,12,45093.0,5850.0,16199.0,129.731887432639,359.235358037833,0.627179487179487,0.464473115624421,0.105982905982906,0.0633989752453855,0
A81039,12,,12,155614.0,13980.0,,89.837675273433,,0.483047210300429,,0.0806151645207439,,0
A81040,12,6,12,102260.0,3638.0,36909.0,35.5759827889693,360.932916096225,0.536833424958769,0.407624156709746,0.121770203408466,0.0890297759354087,0
A81041,12,12,12,112918.0,1150.0,121088.0,10.1843815866381,1072.35338918507,0.656521739130435,0.424129558668076,0.171304347826087,0.220509051268499,0
A81042,12,6,12,187227.0,5948.0,98139.0,31.7689222174152,524.171193257383,0.366341627437794,0.484231549129296,0.293712172158709,0.105941572667339,0
A81044,12,4,12,229935.0,53907.0,115469.0,234.444516928697,502.181051166634,0.57291260875211,0.615117477418181,0.105144044372716,0.0409633754514199,0
A81045,12,5,12,75146.0,3096.0,31687.0,41.1997977270913,421.672477576983,0.507105943152455,0.444188468457096,0.145348837209302,0.11440022722252,0
A81046,12,6,12,147227.0,6350.0,53011.0,43.1306757592018,360.0630319167,0.454330708661417,0.528927958348267,0.183149606299213,0.0104129331648149,0
A81048,12,6,12,84864.0,2983.0,34060.0,35.1503582202112,401.348039215686,0.484076433121019,0.47125660598943,0.206168286959437,0.0243981209630065,0
A81049,12,9,12,77062.0,880.0,59101.0,11.4193766058498,766.92792816174,0.532954545454545,0.548214074211942,0.122727272727273,0.10306086191435,0
A81051,7,9,12,87221.0,1883.0,60226.0,21.5888375505899,690.498847754555,0.585236325013277,0.472420549264437,0.0467339352097716,0.0922359114003919,0
A81052,12,,12,120011.0,2510.0,,20.9147494812975,,0.506374501992032,,0.098804780876494,,0
A81053,12,9,12,70091.0,575.0,44380.0,8.20362100697665,633.17687006891,0.363478260869565,0.481004957187922,0.259130434782609,0.0969806219017575,0
A81054,12,6,12,102081.0,2007.0,52701.0,19.6608575542951,516.266494254563,0.50722471350274,0.495721143811313,0.135525660189337,0.0914024401814007,0
A81056,12,,12,28446.0,485.0,,17.0498488363918,,0.325773195876289,,0.350515463917526,,0
A81057,12,1,12,119968.0,6115.0,841.0,50.9719258468925,7.01020272072553,0.506623058053966,0.430439952437574,0.0878168438266558,0.0558858501783591,0
A81058,12,12,12,110799.0,25314.0,73017.0,228.467765954566,659.004142636666,0.535118906533934,0.440144076037087,0.308050880935451,0.0985934782310969,0
A81060,12,6,12,75766.0,14272.0,34288.0,188.369453316791,452.551276298076,0.652536434977579,0.475180821278581,0.0222113228699552,0.0189862342510499,0
A81063,12,9,12,64295.0,1165.0,52148.0,18.1196049459523,811.073955984136,0.398283261802575,0.606562092505945,0.275536480686695,0.038755081690573,0
A81064,12,5,12,99164.0,20748.0,22841.0,209.229155742003,230.335605663346,0.535425101214575,0.495556236592093,0.14642375168691,0.0309093297141106,0
A81065,8,1,8,25926.0,310.0,2710.0,11.9571086939752,104.528272776363,0.354838709677419,0.552767527675277,0.341935483870968,0.0940959409594096,0
A81066,12,9,12,65851.0,1677.0,40335.0,25.4665836509696,612.51917207028,0.463923673225999,0.609718606669146,0.168157423971377,0.00533035824965911,0
A81067,12,,12,130499.0,4206.0,,32.2301320316631,,0.519495958155017,,0.139324774132192,,0
A81070,2,,12,74101.0,229.0,,3.09037664808842,,0.449781659388646,,0.406113537117904,,0
A81602,12,,12,26427.0,258.0,,9.76274264956295,,0.267441860465116,,0.37984496124031,,0
A81608,12,9,12,202430.0,2082.0,81283.0,10.2850368028454,401.536333547399,0.353986551392891,0.491664923784801,0.162824207492795,0.0174452222481946,0
A81610,12,5,12,94063.0,2266.0,30834.0,24.0902373940869,327.801579792267,0.351279788172992,0.473373548680029,0.0410414827890556,0.158396575209185,0
A81611,12,6,12,114582.0,5717.0,37933.0,49.8943987711857,331.055488645686,0.350008745845723,0.487517465004086,0.478047927234564,0.0673292383940105,0
A81612,12,12,12,48977.0,876.0,38307.0,17.8859464646671,782.142638381281,0.410958904109589,0.495000913671131,0.252283105022831,0.0101809068838593,0
A81618,12,12,12,119286.0,2903.0,106803.0,24.3364686551649,895.352346461446,0.502239063038236,0.545630740709531,0.0950740613158801,0.074482926509555,0
A81621,12,,12,33374.0,428.0,,12.8243542877689,,0.567757009345794,,0.161214953271028,,0
A81622,2,,12,67586.0,251.0,,3.71378687893943,,0.147410358565737,,0.840637450199203,,0
A81629,12,6,12,117966.0,1525.0,51145.0,12.9274536730922,433.557126629707,0.398032786885246,0.472538860103627,0.238688524590164,0.0612181053866458,0
A81631,12,1,12,89881.0,4048.0,11538.0,45.0373271325419,128.369733314049,0.533102766798419,0.226989079563183,0.16699604743083,0.0279944531114578,0
A81634,3,,3,9718.0,52.0,,5.35089524593538,,0.25,,0.365384615384615,,0
A82003,12,,12,143327.0,32475.0,,226.579779106519,,0.523387220939184,,0.119753656658968,,0
A82004,12,9,12,26495.0,65.0,17097.0,2.45329307416494,645.291564446122,0.323076923076923,0.523425162309177,0.292307692307692,0.0106451424226472,0
A82005,12,9,12,69513.0,920.0,27280.0,13.2349344726886,392.444578711896,0.340217391304348,0.52807917888563,0.284782608695652,0.0159457478005865,0
A82006,12,,12,61705.0,3478.0,,56.3649623207196,,0.516101207590569,,0.0885566417481311,,0
A82007,12,5,12,137650.0,3112.0,39195.0,22.6080639302579,284.743915728296,0.444730077120823,0.487409108304631,0.148778920308483,0.112259216736829,0
A82008,12,10,12,144815.0,20536.0,110657.0,141.808514311363,764.126644339329,0.556437475652513,0.531941043042916,0.0831223217763927,0.0963427528308196,0
A82009,12,12,12,110339.0,28018.0,64832.0,253.926535495156,587.57103109508,0.542508387465201,0.468009624876604,0.173103005210936,0.0286278381046397,0
A82010,7,12,12,80857.0,1046.0,58511.0,12.9364186155806,723.635554126421,0.459847036328872,0.497342380065287,0.183556405353728,0.0487771530139632,0
A82012,12,9,12,200828.0,50763.0,75351.0,252.768538251638,375.201665106459,0.500856923349684,0.482475348701411,0.160195417922503,0.038473278390466,0
A82013,12,9,12,77988.0,3557.0,49141.0,45.6095809611735,630.109760475971,0.32949114422266,0.497629270873609,0.309530503233062,0.0601127368185426,0
A82014,12,12,12,51057.0,1957.0,43952.0,38.3297099320367,860.841804257986,0.419008686765457,0.524276483436476,0.187531936637711,0.0509874408445577,0
A82015,12,7,12,161101.0,6836.0,63457.0,42.4330078646315,393.895754837028,0.417203042715038,0.51623934317727,0.260386190754827,0.144207888806593,0
A82016,12,,12,486168.0,111352.0,,229.040167185006,,0.483574610244989,,0.155893023924132,,0
A82018,12,9,12,163859.0,44310.0,60555.0,270.415418133883,369.555532500503,0.450598059128865,0.465543720584593,0.207582938388626,0.0298241268268516,0
A82020,12,,12,184266.0,17049.0,,92.5238513887532,,0.524840166578685,,0.106985746964631,,0
A82021,12,12,12,217071.0,45292.0,174203.0,208.650625832101,802.516227409465,0.521571138390886,0.456800399533877,0.164664841473108,0.0820709172631929,0
A82022,12,5,12,62038.0,941.0,18872.0,15.1681227634676,304.200651213772,0.312433581296493,0.511180584993641,0.375132837407014,0.0550551080966511,0
A82023,12,5,12,77497.0,9365.0,23852.0,120.843387485967,307.779655986683,0.562306460224239,0.511319805467047,0.102082221035771,0.0955475431829616,0
A82024,12,,12,71313.0,587.0,,8.23131827296566,,0.391822827938671,,0.212947189097104,,0
A82025,12,9,12,140841.0,4372.0,60584.0,31.0420971166067,430.158831590233,0.478270814272644,0.58231546282847,0.123741994510521,0.0217879308068137,0
A82026,12,9,12,206743.0,6759.0,100513.0,32.6927634792956,486.173655214445,0.501849386003847,0.512272044412166,0.105193075898802,0.068349367743476,0
A82027,12,9,12,120261.0,8553.0,58969.0,71.1203133185322,490.341839831699,0.481585408628551,0.519442418898065,0.175493978720917,0.0302192677508521,0
A82028,12,10,12,100331.0,20698.0,44068.0,206.297156412275,439.226161405747,0.462556768769929,0.465621312517019,0.214561793409991,0.0264364164473087,0
A82029,12,,12,42447.0,1368.0,,32.2284260371758,,0.366959064327485,,0.279239766081871,,0
A82030,12,9,12,78503.0,416.0,34166.0,5.29916054163535,435.219036215177,0.5,0.508166012995376,0.0697115384615385,0.0242346192120822,0
A82031,12,,12,39802.0,408.0,,10.2507411687855,,0.573529411764706,,0.0416666666666667,,0
A82032,12,,12,166208.0,19295.0,,116.089478244128,,0.508836486136305,,0.124384555584348,,0
A82033,12,9,12,95092.0,458.0,45447.0,4.81638833971312,477.926639464939,0.323144104803493,0.531454221400752,0.331877729257642,0.063436530464057,0
A82035,12,12,12,173310.0,11963.0,112930.0,69.0265997345797,651.606947089031,0.453063612806152,0.494545293544674,0.215581375909053,0.0160276277339945,0
A82036,12,,12,139440.0,32576.0,,233.620195065978,,0.538586689587426,,0.131078094302554,,0
A82037,12,5,12,53177.0,776.0,19199.0,14.5927750719296,361.03954717265,0.36340206185567,0.51492265222147,0.322164948453608,0.0972446481587583,0
