"execution_order","dataset","component","reporting_period","exact_filename","recommended_local_path","destination_raw_table","file_size_bytes","sha256","delimiter","encoding","expected_columns","expected_row_count","source_publication","retrieval_date","validation_status","notes"
"1","GPAD","practice_level_crosstab","feb_26","Practice_Level_Crosstab_Feb_26.csv","data/downloads/reference/raw_gpad_feb_26/Practice_Level_Crosstab_Feb_26.csv","raw_gpad_feb_26","189721504","EF7EA7C777D0C908A505002B6DFFB2DE2F589C7ADF20A218C93B2F5456D14BDA",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","1015913","Practice_Level_Crosstab_Apr_26","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"2","GPAD","practice_level_crosstab","mar_26","Practice_Level_Crosstab_London_East_South_Mar_26.csv","data/downloads/reference/raw_gpad_mar_26_london_east_south/Practice_Level_Crosstab_London_East_South_Mar_26.csv","raw_gpad_mar_26_london_east_south","70241662","627A8393BA2F6C49861DB69D7A63825AB45791232D85CB8FEF5E13CD1591109C",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","384919","Practice_Level_Crosstab_Apr_26","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"3","GPAD","practice_level_crosstab","mar_26","Practice_Level_Crosstab_Midlands_North_Mar_26.csv","data/downloads/reference/raw_gpad_mar_26_midlands_north/Practice_Level_Crosstab_Midlands_North_Mar_26.csv","raw_gpad_mar_26_midlands_north","126970646","1E9469892FC6EC1A5A6F6DDFFCEAA69B50078A7E3B2B3B1E6FD7EAA0E2698B54",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","671155","Practice_Level_Crosstab_Apr_26","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"4","GPAD","practice_level_crosstab","oct_25","Practice_Level_Crosstab_London_East_South_Oct_25.csv","data/downloads/reference/raw_gpad_oct_25_london_east_south/Practice_Level_Crosstab_London_East_South_Oct_25.csv","raw_gpad_oct_25_london_east_south","73579768","D2751E95D47F9E11966D9B80F1D4028D82E55943454AFE7B3E2D8CADA17A5CB5",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","393770","Practice_Level_Crosstab_Dec_25","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"5","GPAD","practice_level_crosstab","oct_25","Practice_Level_Crosstab_Midlands_North_Oct_25.csv","data/downloads/reference/raw_gpad_oct_25_midlands_north/Practice_Level_Crosstab_Midlands_North_Oct_25.csv","raw_gpad_oct_25_midlands_north","131794068","CE457D61F023FA0E4514F4E440F6FFFCE32DB080F0FFBA38ECEA3666AB1665E7",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","696049","Practice_Level_Crosstab_Dec_25","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"6","GPAD","practice_level_crosstab","nov_25","Practice_Level_Crosstab_Nov_25.csv","data/downloads/reference/raw_gpad_nov_25/Practice_Level_Crosstab_Nov_25.csv","raw_gpad_nov_25","195710789","E0B61A59969412DA569EC9B85A8E95298D365C9E5667023F81178C561838A3E2",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","1038177","Practice_Level_Crosstab_Dec_25","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"7","GPAD","practice_level_crosstab","dec_25","Practice_Level_Crosstab_Dec_25.csv","data/downloads/reference/raw_gpad_dec_25/Practice_Level_Crosstab_Dec_25.csv","raw_gpad_dec_25","193646783","28B1DA9ED0C9285F73DDD517A379CFA9E850F6A71308A357A9F981F316E9B20A",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","1027245","Practice_Level_Crosstab_Feb_26","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"8","GPAD","practice_level_crosstab","jan_26","Practice_Level_Crosstab_Jan_26.csv","data/downloads/reference/raw_gpad_jan_26/Practice_Level_Crosstab_Jan_26.csv","raw_gpad_jan_26","197520682","D244607E721B52A892ECC872A9B4E1F88CF5212728EF9ECA27CC186104D5AE22",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","1047297","Practice_Level_Crosstab_Feb_26","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"9","GPAD","practice_level_crosstab","apr_25","Practice_Level_Crosstab_Apr_25.csv","data/downloads/reference/raw_gpad_apr_25/Practice_Level_Crosstab_Apr_25.csv","raw_gpad_apr_25","188367940","0C1EF6A488F723D40487C6584A4639FA9C053A15DC8C49B67B086DD08D4656DF",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","999442","Practice_Level_Crosstab_Jun_25","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
"10","GPAD","practice_level_crosstab","jun_25","Practice_Level_Crosstab_Jun_25.csv","data/downloads/reference/raw_gpad_jun_25/Practice_Level_Crosstab_Jun_25.csv","raw_gpad_jun_25","189187930","6F8D95BF07407151791F9E22F8DE054C1FCAC9E489CB0EE8A7A412BBC680037A",",","utf-8","APPOINTMENT_MONTH_START_DATE|GP_CODE|GP_NAME|SUPPLIER|PCN_CODE|PCN_NAME|SUB_ICB_LOCATION_CODE|SUB_ICB_LOCATION_NAME|HCP_TYPE|APPT_MODE|NATIONAL_CATEGORY|TIME_BETWEEN_BOOK_AND_APPT|COUNT_OF_APPOINTMENTS|APPT_STATUS","1003669","Practice_Level_Crosstab_Jun_25","Not recoverable from local file metadata","PASS","Official selected evidence-series member; raw values imported as text."
