"publication_title","publication_page_url","direct_download_url","access_date","publication_date","reporting_period","filename","size_bytes","sha256","reason_required","supersedes_local_file"
"Submissions via Online Consultation Systems in General Practice, april-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/april-2025","https://files.digital.nhs.uk/01/DF9284/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time-%20April%202025.zip","2026-07-14","see official publication page","april-2025","Submissions via OC Systems By Day and Time- April 2025.zip","1043968","4BDE35FBBACF6B950EEC9E7F2264C3C1D736CBEECF9965D9E298E3549F5D8785","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, may-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/may-2025","https://files.digital.nhs.uk/EB/C6BBE8/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time%20-%20May%202025.csv","2026-07-14","see official publication page","may-2025","Submissions via OC Systems By Day and Time - May 2025.csv","37745686","F6A1BDEB0A213643408F3357C07E6128B0266AE417CD6F6AF141C5429775FBC2","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, june-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/june-2025","https://files.digital.nhs.uk/BD/339B72/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time-%20June%202025.zip","2026-07-14","see official publication page","june-2025","Submissions via OC Systems By Day and Time- June 2025.zip","1109474","26BCC87B6F3B4AA0F1B0E25EC13A4DD4002B4E0DE8241D358FB15E9342C56B20","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, july-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/july-2025","https://files.digital.nhs.uk/DC/D913ED/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time-%20July%202025.zip","2026-07-14","see official publication page","july-2025","Submissions via OC Systems By Day and Time- July 2025.zip","1122581","0DE123FE6932F75AC0AEE6C5B7B540DFA8217749A63593190FCA6287EDBFB2B1","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, august-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/august-2025","https://files.digital.nhs.uk/8A/6DFBE3/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time-%20August%202025.zip","2026-07-14","see official publication page","august-2025","Submissions via OC Systems By Day and Time- August 2025.zip","1109206","A675D65AAA743BA1ABFEF1B421705F039D48284E313751D2A68BBC71608A6948","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, september-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/september-2025","https://files.digital.nhs.uk/48/4A8EBD/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time-%20September%202025.zip","2026-07-14","see official publication page","september-2025","Submissions via OC Systems By Day and Time- September 2025.zip","1217557","27DA4916564A7459BE627BCD7CCFE792CCA987F1FC0C05C1BDBD371ECB357FF9","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, october-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/october-2025","https://files.digital.nhs.uk/8E/CD1BE8/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time-%20October%202025.zip","2026-07-14","see official publication page","october-2025","Submissions via OC Systems By Day and Time- October 2025.zip","1328525","2BA43D26CA1D3B5B4206FA2AF2D612B5F44FBF2D75B0A2EBB0BBAEFE0EF1385B","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, november-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/november-2025","https://files.digital.nhs.uk/E3/C3ABB4/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time-%20November%202025.zip","2026-07-14","see official publication page","november-2025","Submissions via OC Systems By Day and Time- November 2025.zip","1268239","88F0B44E82E1A2D7DC696E0A910CEA56FA5A2847B1D02C63FD1600EE7850BEE3","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, december-2025","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/december-2025","https://files.digital.nhs.uk/30/F4FB09/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time%20-%20December%202025.zip","2026-07-14","see official publication page","december-2025","Submissions via OC Systems By Day and Time - December 2025.zip","9413999","C02A892C2B79C36754A22876DDC3F672550BC8D5BB84EC53270A2122CAA8BB3D","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
"Submissions via Online Consultation Systems in General Practice, january-2026","https://digital.nhs.uk/data-and-information/publications/statistical/submissions-via-online-consultation-systems-in-general-practice/january-2026","https://files.digital.nhs.uk/AE/2943D5/Submissions%20via%20OC%20Systems%20By%20Day%20and%20Time%20-%20January%202026.zip","2026-07-14","see official publication page","january-2026","Submissions via OC Systems By Day and Time - January 2026.zip","10605800","EB70D221EDB117E30F58CA6EB0D402D3C5087F09B3A2A81B7009ADD9F5FB7442","Missing official OCS day/time month in fixed April 2025-March 2026 window","no"
